model,roc_auc_mean,f1_mean,avg_precision_mean
logistic_regression,0.9950516622560514,0.9776942076997297,0.996681520628484
gradient_boosting,0.9920038534393267,0.957486030090628,0.9944695441046841
random_forest,0.9910553870163271,0.9693702972035945,0.9930915446801329
