model,rmse_mean,mae_mean,r2_mean
ridge,54.82705421208429,44.24347331722023,0.47907195116934853
random_forest,57.58214260894825,46.75299545454545,0.426763309349912
gradient_boosting,58.13319332918171,47.295262906948004,0.41686598146707743
