model,roc_auc_mean,f1_mean,precision_mean,recall_mean,avg_precision_mean
logistic_regression,0.9950516622560514,0.9776942076997297,0.9754047525786657,0.980399061032864,0.996681520628484
gradient_boosting,0.9920038534393267,0.957486030090628,0.9443141200460721,0.9720266040688574,0.9944695441046841
random_forest,0.9898099297767656,0.9679113306382451,0.9650226220703635,0.9720266040688574,0.9904010645696186
